timestamp,warehouse_id,temperature,humidity,shipment_id
2026-06-10T00:00:00Z,C-502,8.79,76.53,SH-1082
2026-06-10T02:00:00Z,C-502,10.2,76.37,SH-1082
2026-06-10T04:00:00Z,C-502,9.63,73.44,SH-1082
2026-06-10T06:00:00Z,C-502,8.8,78.11,SH-1082
2026-06-10T08:00:00Z,C-502,9.41,76.31,SH-1082
2026-06-10T10:00:00Z,C-502,10.35,79.81,SH-1082
2026-06-10T12:00:00Z,C-502,11.22,71.75,SH-1082
2026-06-10T14:00:00Z,C-502,10.66,74.92,SH-1082
2026-06-10T16:00:00Z,C-502,11.05,75.3,SH-1082
2026-06-10T18:00:00Z,C-502,8.5,73.83,SH-1082
2026-06-10T20:00:00Z,C-502,9.05,73.5,SH-1082
2026-06-10T22:00:00Z,C-502,10.54,77.08,SH-1082
2026-06-11T00:00:00Z,C-502,10.42,78.55,SH-1082
2026-06-11T02:00:00Z,C-502,11.47,75.43,SH-1082
2026-06-11T04:00:00Z,C-502,10.11,77.14,SH-1082
2026-06-11T06:00:00Z,C-502,8.94,76.11,SH-1082
2026-06-11T08:00:00Z,C-502,8.36,78.03,SH-1082
2026-06-11T10:00:00Z,C-502,9.96,72.25,SH-1082
2026-06-11T12:00:00Z,C-502,9.69,75.26,SH-1082
2026-06-11T14:00:00Z,C-502,8.34,76.61,SH-1082
2026-06-11T16:00:00Z,C-502,9.37,79.03,SH-1082
2026-06-11T18:00:00Z,C-502,8.44,75.96,SH-1082
2026-06-11T20:00:00Z,C-502,10.28,76.92,SH-1082
2026-06-11T22:00:00Z,C-502,10.85,72.46,SH-1082
2026-06-12T00:00:00Z,C-502,10.19,70.95,SH-1082
2026-06-12T02:00:00Z,C-502,8.36,71.2,SH-1082
2026-06-12T04:00:00Z,C-502,9.58,71.57,SH-1082
2026-06-12T06:00:00Z,C-502,10.46,73.2,SH-1082
2026-06-12T08:00:00Z,C-502,10.86,77.96,SH-1082
2026-06-12T10:00:00Z,C-502,8.99,77.96,SH-1082
2026-06-12T12:00:00Z,C-502,11.12,78.67,SH-1082
2026-06-12T14:00:00Z,C-502,8.34,70.37,SH-1082
2026-06-12T16:00:00Z,C-502,8.5,71.69,SH-1082
2026-06-12T18:00:00Z,C-502,11.37,79.58,SH-1082
2026-06-12T20:00:00Z,C-502,9.7,72.01,SH-1082
2026-06-12T22:00:00Z,C-502,8.61,70.17,SH-1082
2026-06-13T00:00:00Z,C-502,10.33,77.17,SH-1082
2026-06-13T02:00:00Z,C-502,8.5,74.39,SH-1082
2026-06-13T04:00:00Z,C-502,10.09,72.84,SH-1082
2026-06-13T06:00:00Z,C-502,8.9,71.54,SH-1082
2026-06-30T18:00:00Z,C-604,3.66,50.46,SH-1104
2026-06-30T19:00:00Z,C-604,3.89,54.0,SH-1104
2026-06-30T20:00:00Z,C-604,4.96,47.78,SH-1104
2026-06-30T21:00:00Z,C-604,4.94,52.52,SH-1104
2026-06-30T22:00:00Z,C-604,3.59,49.46,SH-1104
2026-06-30T23:00:00Z,C-604,4.16,52.0,SH-1104
2026-07-01T00:00:00Z,C-604,4.27,49.72,SH-1104
2026-07-01T01:00:00Z,C-604,4.02,52.2,SH-1104
2026-07-01T02:00:00Z,C-604,3.64,46.93,SH-1104
2026-07-01T03:00:00Z,C-604,4.42,46.22,SH-1104
2026-07-01T04:00:00Z,C-604,9.65,61.03,SH-1104
2026-07-01T05:00:00Z,C-604,10.43,66.46,SH-1104
2026-07-01T06:00:00Z,C-604,10.19,67.08,SH-1104
2026-07-01T07:00:00Z,C-604,10.15,60.69,SH-1104
2026-07-01T08:00:00Z,C-604,8.81,68.17,SH-1104
2026-07-01T09:00:00Z,C-604,10.3,66.16,SH-1104
2026-07-01T10:00:00Z,C-604,8.68,65.53,SH-1104
2026-07-01T11:00:00Z,C-604,4.42,49.88,SH-1104
2026-07-01T12:00:00Z,C-604,4.54,53.17,SH-1104
2026-07-01T13:00:00Z,C-604,4.83,49.71,SH-1104
2026-07-01T14:00:00Z,C-604,4.53,54.53,SH-1104
2026-07-01T15:00:00Z,C-604,4.04,45.52,SH-1104
2026-07-01T16:00:00Z,C-604,4.74,48.12,SH-1104
2026-07-01T17:00:00Z,C-604,3.97,54.08,SH-1104
2026-07-01T18:00:00Z,C-604,4.31,46.72,SH-1104
2026-07-01T19:00:00Z,C-604,4.86,45.8,SH-1104
2026-07-01T20:00:00Z,C-604,4.18,47.58,SH-1104
2026-07-01T21:00:00Z,C-604,4.35,54.96,SH-1104
2026-07-01T22:00:00Z,C-604,4.22,47.28,SH-1104
2026-07-01T23:00:00Z,C-604,3.57,45.06,SH-1104
2026-07-02T00:00:00Z,C-604,3.89,51.01,SH-1104
2026-07-02T01:00:00Z,C-604,4.88,54.16,SH-1104
2026-07-02T02:00:00Z,C-604,4.14,54.26,SH-1104
2026-07-02T03:00:00Z,C-604,3.82,46.44,SH-1104
2026-07-02T04:00:00Z,C-604,5.0,51.85,SH-1104
2026-07-02T05:00:00Z,C-604,4.09,48.6,SH-1104
2026-07-02T06:00:00Z,C-604,4.81,53.83,SH-1104
2026-07-02T07:00:00Z,C-604,3.65,54.98,SH-1104
2026-07-02T08:00:00Z,C-604,4.04,50.49,SH-1104
2026-07-02T09:00:00Z,C-604,4.7,52.08,SH-1104
2026-07-10T00:00:00Z,WH-101,3.46,61.7,N/A
2026-07-10T02:00:00Z,WH-101,4.48,55.27,N/A
2026-07-10T04:00:00Z,WH-101,3.51,60.6,N/A
2026-07-10T06:00:00Z,WH-101,2.77,55.18,N/A
2026-07-10T08:00:00Z,WH-101,3.0,58.81,N/A
2026-07-10T10:00:00Z,WH-101,2.66,63.11,N/A
2026-07-10T12:00:00Z,WH-101,2.75,58.68,N/A
2026-07-10T14:00:00Z,WH-101,3.45,59.8,N/A
2026-07-10T16:00:00Z,WH-101,3.04,64.87,N/A
2026-07-10T18:00:00Z,WH-101,3.57,60.48,N/A
2026-07-10T20:00:00Z,WH-101,3.15,55.96,N/A
2026-07-10T22:00:00Z,WH-101,3.15,64.37,N/A
2026-07-11T00:00:00Z,WH-101,3.23,58.4,N/A
2026-07-11T02:00:00Z,WH-101,4.3,58.92,N/A
2026-07-11T04:00:00Z,WH-101,2.92,55.15,N/A
2026-07-11T06:00:00Z,WH-101,2.87,57.22,N/A
2026-07-11T08:00:00Z,WH-101,2.96,57.33,N/A
2026-07-11T10:00:00Z,WH-101,4.43,64.03,N/A
2026-07-11T12:00:00Z,WH-101,3.89,58.35,N/A
2026-07-11T14:00:00Z,WH-101,3.1,60.94,N/A
